Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net financial wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Time devoted to leisure and personal care,Voter turnout,Water quality,Years in education,Net_Migration ,Positive
Australia,5,1.1,80,13.2,72,63.6,1,33417,57462,20,4.3,82.5,7.3,1.36,52063,94,2.3,85,2.7,502,14.35,91,92,21.2,244875,Positive
Austria,16,1,85,6.78,72,80.7,0.4,32544,59574,21,2.7,81.3,7,1.94,48295,92,1.6,70,1.3,492,14.55,75,93,17.1,45573,Positive
Belgium,15,2.3,75,4.31,62,70.7,1,29968,104084,21,4.8,81.1,6.9,3.98,49587,92,2.2,75,2.2,503,15.77,89,84,18.2,56248,Positive
Brazil,10,6.7,49,7.15,64,37.3,27.6,12227,7102,20,4.9,74.7,6.6,3.37,14024,90,0.8,70,2.2,395,14.45,79,72,15.9,56362,Positive
Canada,7,0.2,91,3.73,73,80.9,1.4,29850,85758,22,3.9,81.5,7.3,0.81,48403,93,2.5,88,3,523,14.41,68,91,16.7,361274,Positive
Chile,16,9.4,65,10.06,62,51.1,4.5,16588,21409,18,8.1,79.1,6.7,2.02,28434,84,1.9,57,1.5,443,14.9,49,69,17.3,214697,Positive
Czechia,20,0.6,93,5.77,72,68.3,0.8,21103,24258,24,1.8,78.7,6.6,1.71,23722,89,1.4,61,2.6,491,15.06,59,87,17.3,2809,Positive
Denmark,9,0.6,81,2.2,75,83,0.7,28950,73543,24,2.3,80.8,7.5,1.35,52580,95,1.9,72,2.1,504,15.87,86,94,19.7,23188,Positive
Estonia,8,6.9,89,2.69,72,67.2,3.1,18665,16967,18,4,77.7,5.6,2.13,23621,90,1.6,51,2.8,524,14.9,64,82,15.8,5329,Positive
Finland,6,0.5,88,3.91,69,82.9,1.4,29374,27972,23,2.7,81.6,7.5,2.33,42127,95,1.9,70,2.3,523,15.17,69,94,19.8,13307,Positive
France,13,0.5,78,7.76,65,69.6,0.6,31137,59479,21,5,82.4,6.4,4.33,42992,88,1.8,68,2.1,496,16.36,75,82,16.5,13175,Positive
Germany,14,0.1,86,4.6,75,75.9,0.4,33652,57358,20,2,80.7,7,1.68,46389,92,1.8,65,2.1,508,15.55,72,93,18.3,430803,Positive
Greece,18,0.5,72,7.3,52,61.8,1,17002,18117,24,17.4,81.1,5.2,16.95,25124,82,1.2,74,1.9,458,14.67,64,69,16.9,25061,Negative
Hungary,19,4.3,83,3.05,67,50.7,1.2,16821,23289,18,4.8,75.7,5.3,2.42,21711,84,1.2,56,1.2,474,15.06,62,76,16.6,18044,Positive
