Country,Net_migration
Australia,244875
Austria,45573
Belgium,56248
Brazil,56362
Canada,361274
Chile,214697
Czech Republic,2809
Denmark,23188
Estonia,5329
Finland,13307
France,13175
Germany,430803
Greece,-25061
Hungary,18044
Iceland,8316
Ireland,29200
Israel,14518
Italy,70475
Japan,164070
Korea,-3222
Latvia,-9498
Luxembourg,9563
Mexico,-12438
Netherlands,60585
New Zealand,48815
Norway,21584
Poland,-1983
Portugal,5244
Russia,350105
Slovak Republic,3542
Slovenia,7460
South Africa,-10681
Spain,167475
Sweden,80765
Switzerland,45208
Türkiye,-252010
United Kingdom,239014
United States,1377630
